iter	Passed	Remaining
0	20	10083
1	39	9901
2	58	9624
3	76	9546
4	95	9499
5	114	9467
6	133	9411
7	153	9467
8	178	9718
9	200	9815
10	249	11103
11	296	12063
12	334	12542
13	365	12703
14	388	12551
15	406	12300
16	425	12075
17	446	11964
18	468	11857
19	492	11820
20	511	11669
21	533	11590
22	552	11449
23	570	11314
24	590	11210
25	607	11079
26	626	10974
27	654	11024
28	674	10956
29	696	10908
30	715	10825
31	734	10737
32	751	10639
33	771	10573
34	791	10512
35	811	10465
36	832	10422
37	853	10377
38	879	10391
39	897	10317
40	915	10251
41	933	10176
42	952	10118
43	969	10052
44	989	10003
45	1007	9944
46	1025	9888
47	1047	9865
48	1069	9839
49	1092	9828
50	1110	9775
51	1129	9730
52	1147	9679
53	1166	9636
54	1184	9582
55	1202	9534
56	1224	9520
57	1252	9545
58	1274	9528
59	1299	9529
60	1321	9511
61	1340	9472
62	1359	9427
63	1378	9388
64	1397	9350
65	1415	9308
66	1434	9268
67	1452	9229
68	1472	9195
69	1501	9223
70	1529	9239
71	1546	9192
72	1564	9152
73	1583	9114
74	1602	9081
75	1620	9042
76	1638	8999
77	1656	8962
78	1675	8926
79	1692	8886
80	1713	8865
81	1737	8859
82	1761	8848
83	1780	8816
84	1799	8787
85	1818	8755
86	1837	8720
87	1855	8688
88	1873	8651
89	1892	8620
90	1913	8598
91	1936	8586
92	1960	8580
93	1978	8543
94	1998	8519
95	2017	8488
96	2035	8458
97	2055	8430
98	2073	8399
99	2092	8369
100	2110	8335
101	2131	8318
102	2153	8299
103	2175	8283
104	2196	8261
105	2217	8243
106	2245	8246
107	2264	8220
108	2284	8195
109	2303	8167
110	2322	8138
111	2342	8116
112	2367	8107
113	2388	8086
114	2406	8055
115	2425	8029
116	2443	7999
117	2462	7971
118	2481	7946
119	2502	7925
120	2528	7918
121	2548	7896
122	2569	7876
123	2593	7865
124	2611	7835
125	2630	7808
126	2649	7781
127	2667	7752
128	2685	7723
129	2704	7696
130	2721	7667
131	2741	7642
132	2763	7624
133	2782	7599
134	2805	7586
135	2825	7563
136	2844	7536
137	2864	7512
138	2883	7488
139	2900	7459
140	2919	7432
141	2936	7404
142	2954	7376
143	2976	7359
144	2997	7338
145	3017	7316
146	3038	7295
147	3058	7273
148	3083	7263
149	3105	7246
150	3123	7219
151	3149	7211
152	3169	7188
153	3217	7230
154	3253	7240
155	3273	7217
156	3294	7197
157	3313	7172
158	3332	7147
159	3350	7120
160	3368	7092
161	3387	7068
162	3409	7049
163	3432	7032
164	3452	7010
165	3473	6989
166	3495	6969
167	3514	6946
168	3534	6923
169	3553	6897
170	3570	6869
171	3588	6842
172	3606	6816
173	3626	6795
174	3646	6772
175	3670	6756
176	3689	6732
177	3706	6705
178	3726	6682
179	3746	6661
180	3764	6634
181	3782	6608
182	3799	6582
183	3817	6556
184	3838	6535
185	3863	6521
186	3881	6496
187	3900	6472
188	3918	6448
189	3937	6425
190	3957	6402
191	3975	6377
192	3993	6353
193	4012	6328
194	4030	6303
195	4050	6282
196	4077	6270
197	4096	6248
198	4120	6231
199	4142	6214
200	4161	6191
201	4182	6170
202	4208	6157
203	4230	6137
204	4250	6117
205	4273	6099
206	4296	6081
207	4314	6057
208	4332	6032
209	4350	6008
210	4372	5988
211	4390	5964
212	4409	5940
213	4427	5916
214	4446	5894
215	4468	5874
216	4494	5861
217	4514	5840
218	4534	5817
219	4551	5792
220	4569	5769
221	4588	5745
222	4606	5721
223	4624	5697
224	4643	5675
225	4664	5654
226	4686	5636
227	4704	5612
228	4723	5589
229	4740	5565
230	4759	5541
231	4778	5520
232	4796	5496
233	4814	5473
234	4833	5450
235	4854	5430
236	4876	5411
237	4900	5394
238	4920	5373
239	4938	5349
240	4956	5326
241	4975	5304
242	4993	5280
243	5011	5258
244	5029	5234
245	5046	5210
246	5065	5189
247	5090	5172
248	5113	5154
249	5131	5131
250	5150	5109
251	5169	5087
252	5193	5070
253	5218	5054
254	5239	5033
255	5257	5011
256	5278	4990
257	5301	4973
258	5325	4955
259	5346	4935
260	5367	4915
261	5385	4892
262	5404	4870
263	5421	4846
264	5438	4823
265	5457	4800
266	5479	4781
267	5500	4761
268	5522	4742
269	5541	4720
270	5559	4697
271	5579	4676
272	5596	4653
273	5614	4630
274	5632	4608
275	5651	4586
276	5670	4565
277	5691	4544
278	5715	4527
279	5738	4508
280	5755	4485
281	5775	4464
282	5794	4443
283	5812	4420
284	5829	4398
285	5848	4376
286	5867	4354
287	5886	4333
288	5906	4312
289	5928	4292
290	5950	4274
291	5969	4251
292	5988	4230
293	6007	4209
294	6025	4187
295	6043	4165
296	6062	4144
297	6080	4121
298	6098	4099
299	6119	4079
300	6143	4061
301	6168	4044
302	6192	4025
303	6213	4006
304	6232	3984
305	6251	3963
306	6269	3941
307	6289	3920
308	6308	3899
309	6332	3881
310	6356	3862
311	6378	3843
